customer_id,age,annual_income,loan_amount,loan_purpose,credit_score,join_date,default_flag
10278,29.0,1232171.8,301114.03,Car,691.55,2021-06-10,0
10925,49.0,499004.94,236300.97,Home,700.81,2025-03-25,0
10602,26.0,454459.8,220512.73,Car,677.17,2024-04-28,0
10440,35.0,1300895.24,855348.68,Business,605.97,2018-07-10,1
10838,25.0,269698.66,25000.0,Home,592.42,2021-12-08,1
10571,36.0,285282.71,195094.44,Home,801.98,2023-10-27,0
10880,49.0,580732.48,272488.76,Car,713.43,2023-08-10,0
10262,35.0,686708.7,98726.87,Other,605.64,2018-08-28,1
10579,20.0,376168.31,200897.46,Other,577.66,2025-02-25,0
10024,20.0,349898.35,200848.92,Business,744.0,2025-01-04,1
10031,29.0,,1363873.8,Home,694.33,2021-08-10,1
10618,44.0,440372.67,247528.0,Education,702.14,2024-10-24,1
10011,31.0,1188547.75,604367.53,Car,802.94,2025-04-19,0
10222,18.0,525975.05,25000.0,Education,753.34,2020-09-02,0
10821,30.0,1157060.27,141286.11,Car,732.03,2019-07-06,0
10297,46.0,408355.32,198295.68,Other,683.14,2018-07-15,0
10055,47.0,236022.84,25000.0,Education,707.02,2018-04-17,1
10543,42.0,1560779.82,784400.18,Home,686.55,2018-07-02,1
10210,75.0,308073.29,280008.57,Business,792.35,2021-12-24,1
10605,41.0,561656.16,317404.23,Other,726.9,2018-03-03,0
10693,24.0,446845.65,300919.29,Business,775.0,2019-11-28,0
10663,36.0,477211.22,34772.65,Home,623.72,2023-06-26,1
10867,39.0,784373.64,432001.5,Business,655.64,2020-03-01,1
10071,40.0,,211009.58,Car,593.34,2021-12-11,1
10544,52.0,656952.42,2324170.3904436254,Business,678.8,2025-05-16,1
10108,38.0,579586.46,90328.2,Education,674.67,2019-04-12,1
10494,27.0,746351.39,25000.0,Business,845.8,2022-06-22,0
10591,,641394.24,301100.58,Business,635.81,2021-06-18,1
10742,22.0,741131.14,484986.22,Business,728.46,2019-07-08,0
10293,30.0,301871.09,168015.84,Other,848.1092826913144,2019-05-05,1
10290,29.0,862389.28,752122.14,Education,659.96,2019-04-11,0
10653,33.0,1366408.64,213621.41,Car,548.34,2020-04-19,1
10040,38.0,865163.53,655881.84,Education,674.16,2020-07-30,1
10590,27.0,999663.54,435125.46,Other,707.78,2023-01-01,0
10308,29.0,505082.16,265306.77,Home,531.44,2019-09-14,1
10680,50.0,257341.81,145587.28,Home,563.63,2024-06-22,1
10067,35.0,729395.56,568390.07,Education,645.58,2021-06-14,0
10276,41.0,1797445.09,482583.97,Education,620.38,2019-10-18,1
10068,47.0,356587.1,415162.17,Business,603.68,2023-04-23,0
10319,40.0,577804.24,184913.44,Business,603.94,2018-10-29,1
10549,40.0,762798.12,289456.83,Education,651.77,2020-10-01,1
10999,30.0,1151947.6,1052362.51,Car,641.44,2025-05-13,0
10715,36.0,523972.99,184404.62,Home,697.84,2022-01-31,0
10754,48.0,300946.79,93124.71,Home,624.33,2024-03-09,1
10328,45.0,388539.33,353511.27,Home,746.39,2022-09-24,0
10383,18.0,1444671.3,1135019.48,Home,436.89,2025-01-02,1
10452,47.0,332219.53,25000.0,Business,730.74,2019-03-29,0
10523,29.0,1099235.75,942293.06,Other,529.23,2019-05-05,1
10219,31.0,606755.81,105761.93,Car,625.03,2023-02-05,0
10788,41.0,206381.94,140005.72,Education,721.77,2024-09-27,1
10437,54.0,398991.92,25000.0,Business,759.21,2025-03-02,0
10765,49.0,741804.39,287314.24,Home,,2022-09-03,1
10089,30.0,213787.62,132859.05,Business,767.8,2023-10-29,0
10064,23.0,629759.25,456848.49,Home,691.09,2021-12-14,0
10827,53.0,653147.75,322191.53,Car,756.65,2021-09-20,0
10717,37.0,369407.51,186137.47,Other,647.58,2023-09-09,1
10352,52.0,550116.36,25000.0,Home,638.09,2025-04-06,1
10937,25.0,564127.95,99302.2,Education,562.3,2022-06-03,0
10257,50.0,880517.36,301232.98,Car,639.65,2025-02-19,1
10636,18.0,587486.18,930454.0003199416,Other,735.58,2025-12-22,0
10645,33.0,1048165.99,755055.36,Home,662.26,2022-08-16,1
10555,40.0,864673.1,362419.77,Education,712.16,2024-07-14,1
10960,41.0,695677.55,178964.75,Education,702.06,2023-08-06,1
10169,33.0,811828.77,552995.98,Home,757.27,2022-06-22,0
10918,38.0,678535.72,404351.06,Business,,2020-07-10,1
10529,39.0,679716.29,411279.81,Home,667.99,2023-03-03,0
10824,32.0,601322.3,411029.11,Car,731.96,2018-12-31,1
10986,,322628.11,298690.45,Education,592.65,2019-07-13,1
10817,39.0,242104.3,202377.55,Education,679.1,2023-09-01,1
10087,46.0,307894.33,42526.93,Car,690.62,2022-05-25,0
10433,33.0,644088.84,60370.15,Car,680.48,2022-02-15,1
10185,34.0,249323.3,317919.35,Home,674.54,2020-06-25,1
10979,19.0,1006266.85,763289.23,Business,654.25,2018-07-22,1
10535,29.0,1131058.08,592170.45,Education,691.26,2018-09-07,0
10295,40.0,336966.91,216142.06,Business,672.24,2024-10-17,1
10893,48.0,781264.33,471922.28,Other,718.29,2019-04-24,1
10426,51.0,214007.77,208876.66,Education,713.71,2019-05-02,1
10714,40.0,906016.17,490408.75,Education,723.85,2024-10-02,0
10261,26.0,400986.42,297422.32,Business,693.73,2024-02-29,1
10238,38.0,1093567.61,770164.52,Car,828.9,2025-06-02,0
10560,31.0,555667.74,40377.53,Business,613.22,2019-11-03,1
10584,61.0,1007430.61,776713.72,Education,702.98,2022-07-29,1
10446,43.0,483163.26,285201.69,Car,780.39,2021-09-07,0
10868,40.0,559894.92,227187.34,Education,744.47,2023-12-22,0
10801,46.0,575591.96,368161.91,Business,599.86,2025-10-24,1
10600,40.0,549432.83,113893.93,Other,692.65,2018-05-23,0
10850,30.0,2425690.26,1455125.45,Car,663.46,2024-07-28,1
10266,22.0,494381.5,185964.99,Car,754.68,2021-08-31,0
10996,33.0,508515.69,138490.9,Business,659.31,2021-08-24,1
10530,26.0,636593.41,409043.03,Car,661.74,2023-02-13,0
10056,46.0,1061681.81,416685.63,Business,720.6,2024-10-27,1
10121,45.0,459646.92,199829.35,Business,628.32,2019-08-26,1
10216,44.0,1172078.31,396665.91,Business,675.81,2021-10-10,0
10026,37.0,483497.48,187381.65,Education,701.29,2023-05-17,1
10073,36.0,618028.18,198728.87,Car,794.51,2022-02-12,0
10045,20.0,273961.49,169435.26,Other,729.36,2019-03-30,0
10248,29.0,477285.86,178384.36,Education,739.18,2022-06-03,0
10722,18.0,,142300.11,Business,764.66,2024-06-09,0
10282,43.0,817864.58,712681.72,Education,780.07,2023-05-30,0
10894,49.0,1465441.6,704831.86,Home,695.13,2021-02-11,1
10915,35.0,1144582.6,797938.57,Business,592.41,2022-03-07,0
10811,34.0,961263.13,573503.65,Education,491.83,2025-06-29,1
10245,23.0,244040.75,120248.26,Education,571.86,2023-10-04,0
10823,61.0,434043.19,27480.22,Other,620.75,2019-08-26,0
10322,43.0,752244.73,88237.05,Business,680.79,2019-09-04,0
10644,19.0,364719.85,128355.81,Education,784.96,2021-03-09,0
10159,23.0,453651.03,147610.15,Education,676.91,2021-11-08,1
10978,18.0,,494050.34,Car,576.7,2022-06-20,1
10430,18.0,548213.62,178519.99,Business,843.93,2020-12-06,0
10942,46.0,644918.32,268305.51,Education,568.82,2025-09-16,1
10463,28.0,267141.91,36380.97,Business,641.1,2022-06-11,0
10310,34.0,1635215.31,800679.71,Business,741.41,2025-04-20,1
10698,22.0,844228.72,101760.56,Car,735.6,2022-03-16,1
10061,31.0,711470.88,569276.0,Home,466.25,2020-03-06,1
10885,44.0,339870.43,138790.15,Education,553.45,2020-12-28,1
10596,30.0,763056.73,472779.9,Education,654.06,2018-05-18,1
10768,55.0,1107915.2,577939.88,Home,681.37,2018-11-13,0
10650,44.0,684104.68,344955.94,Business,845.72,2024-06-15,1
10651,56.0,502351.21,25000.0,Education,621.01,2024-05-10,1
10866,32.0,788484.99,548358.52,Business,804.8,2020-02-27,0
10669,18.0,1244930.03,428262.03,Business,725.28,2024-04-14,0
10299,45.0,637984.18,330191.31,Other,766.51,2022-01-14,0
10690,41.0,372042.66,211497.13,Education,606.15,2021-04-28,1
10315,50.0,383616.83,82407.3,Home,,2021-03-23,1
10311,34.0,417434.61,175470.61,Education,763.01,2019-10-05,0
10362,53.0,629803.25,466535.16,Business,622.85,2025-06-24,1
10480,48.0,595982.63,480558.0,Other,738.61,2025-07-11,1
10111,18.0,363825.08,322884.96,Business,737.96,2022-04-15,0
10990,36.0,1750678.87,383175.35,Education,657.57,2022-04-07,0
10487,29.0,846504.6,70824.14,Home,604.69,2019-10-02,1
10364,40.0,572426.39,89825.28,Home,745.84,2019-02-23,0
10255,19.0,308171.92,221301.17,Business,648.22,2023-07-20,1
10260,45.0,427616.58,386341.87,Education,658.39,2021-01-17,1
10803,37.0,722632.41,612919.98,Car,,2024-06-21,1
10678,55.0,309255.12,194141.69,Home,636.71,2021-10-07,1
10495,53.0,572353.52,122984.49,Car,740.37,2021-03-07,1
10671,50.0,1049304.68,807379.01,Home,589.34,2021-08-13,1
10378,38.0,733324.75,318631.43,Other,764.09,2019-10-06,0
10527,18.0,814253.9,252379.01,Car,684.93,2025-04-25,0
10846,41.0,1295767.5,474117.34,Home,693.86,2023-11-19,1
10138,32.0,359530.44,88778.37,Car,743.72,2025-08-25,0
10356,25.0,1894726.26,922000.54,Car,566.01,2022-06-29,1
10366,32.0,1031340.17,712563.34,Car,678.35,2022-08-07,0
10943,43.0,705743.06,421596.74,Home,623.65,2024-09-10,1
10750,21.0,876412.89,643845.87,Other,768.41,2019-07-26,0
10949,35.0,272257.86,156847.33,Education,,2022-11-18,1
10830,33.0,490537.83,161182.96,Business,752.07,2019-08-13,0
10657,36.0,947708.27,583349.87,Home,597.4,2024-08-05,1
10200,23.0,520387.26,176904.38,Education,617.37,2018-09-27,1
10214,43.0,1091716.0,492121.05,Car,712.33,2020-09-30,0
10409,37.0,647105.99,244177.42,Car,725.92,2019-01-12,1
10333,37.0,787261.38,117054.05,Other,659.52,2020-11-17,1
10209,42.0,1031518.73,766825.84,Business,687.63,2021-10-15,1
10614,24.0,976057.63,210936.06,Car,755.48,2024-06-13,0
10079,37.0,628960.2,391552.37,Business,635.57,2025-02-11,1
10030,33.0,883646.76,247940.95,Education,663.43,2020-10-04,1
10536,37.0,864256.41,615676.52,Car,733.44,2022-05-26,1
10696,33.0,1383850.73,1125118.91,Education,638.35,2020-10-31,1
10558,31.0,816557.6,543081.27,Business,751.68,2022-03-19,1
10837,53.0,586817.52,36401.71,Car,596.58,2019-11-01,1
10597,33.0,256493.41,161762.23,Business,617.2,2023-05-22,1
10166,41.0,,544773.27,Business,,2022-04-17,0
10919,31.0,810054.95,238486.21,Home,728.32,2025-02-03,1
10496,42.0,473400.43,186965.46,Home,844.28,2022-06-06,0
10825,,1565639.05,555586.67,Car,658.72,2023-05-28,0
10066,51.0,729850.72,281771.18,Business,631.79,2022-06-23,1
10142,50.0,1066636.54,229685.48,Education,,2021-06-05,1
10926,19.0,2627090.54,2160300.02,Car,704.01,2023-07-24,0
10828,30.0,570347.91,535649.99,Education,695.84,2025-05-23,0
10656,37.0,677632.14,290790.09,Business,633.14,2020-01-03,0
10332,26.0,785406.97,764511.85,Education,701.09,2018-09-13,1
10665,28.0,153442.05,25000.0,Car,714.38,2023-03-04,1
10250,40.0,953078.69,356311.71,Other,627.0,2025-11-05,1
10908,44.0,1659428.44,4635042.503762467,Car,729.77,2019-07-24,1
10709,18.0,362002.59,136643.63,Business,758.62,2021-01-21,0
10306,37.0,383872.11,252493.9,Home,539.38,2025-04-19,1
10735,47.0,1622990.02,142195.14,Home,716.0,2023-02-18,0
10976,18.0,207663.78,25000.0,Business,729.27,2025-09-24,0
10050,18.0,339770.21,164500.27,Business,685.23,2019-11-26,0
10897,34.0,680909.29,469842.53,Other,677.41,2020-09-03,0
10003,43.0,516889.15,524347.26,Other,617.48,2020-01-01,0
10545,18.0,337998.85,248483.02,Business,850.0,2018-01-30,0
10351,39.0,732269.11,392795.08,Business,699.78,2025-03-14,1
10905,38.0,238782.77,119512.67,Home,571.76,2018-06-14,1
10537,27.0,659436.03,622530.03,Home,757.35,2020-01-10,0
10345,31.0,712928.26,369890.07,Home,,2023-05-25,1
10995,25.0,733065.44,235673.11,Other,684.74,2024-04-25,1
10482,25.0,1624435.94,720970.29,Other,765.17,2018-06-01,0
10576,18.0,939017.8,555405.27,Car,496.95,2021-04-24,1
10034,24.0,,140759.0,Other,735.84,2025-05-17,1
10032,56.0,498698.19,381730.17,Other,593.77,2025-08-16,1
10232,38.0,222452.46,52806.2,Car,686.22,2018-04-03,1
10964,44.0,777466.19,741405.16,Other,582.86,2025-09-15,1
10193,38.0,764617.98,420823.11,Other,770.69,2020-05-08,0
10334,29.0,396694.25,174012.02,Car,723.88,2020-07-25,1
10004,53.0,627820.76,167602.51,Home,629.01,2024-10-24,1
10205,21.0,862778.8,564339.16,Car,667.07,2024-03-22,0
10515,30.0,376491.72,58138.81,Education,698.16,2022-08-28,0
10800,36.0,1598244.56,324782.43,Home,758.61,2025-04-15,0
10307,50.0,470050.26,44957.78,Car,593.19,2018-06-29,1
10110,35.0,280628.03,52752.44,Business,659.12,2023-06-24,0
10431,23.0,1220831.58,436736.73,Other,661.51,2024-03-04,0
10078,33.0,553634.72,299586.24,Other,653.43,2024-01-10,1
10085,27.0,604436.87,484921.19,Home,776.42,2020-03-14,0
10287,34.0,1325061.87,569734.85,Home,570.59,2025-10-25,1
10083,52.0,350825.27,104894.91,Car,580.99,2023-05-31,1
10992,18.0,1833290.607730092,119599.04,Home,626.74,2020-05-08,1
10790,18.0,305320.86,181715.18,Home,519.39,2019-01-03,0
10895,51.0,376341.93,40113.22,Other,719.78,2023-06-20,0
10399,35.0,586063.78,485896.89,Car,728.28,2023-07-07,1
10324,59.0,625611.52,477083.15,Home,591.48,2024-10-28,0
10520,44.0,605593.92,435790.55,Car,743.05,2023-11-16,1
10917,43.0,745124.41,84803.66,Education,763.08,2024-02-04,0
10923,37.0,360122.27,123570.6,Car,656.79,2020-12-14,1
10006,33.0,751390.36,277294.0,Home,694.39,2020-07-21,0
10732,25.0,528674.98,402767.96,Car,646.57,2022-04-22,0
10466,34.0,917460.81,302805.68,Business,673.52,2022-06-01,1
10098,39.0,1110069.85,282671.65,Business,638.81,2018-11-28,1
10267,54.0,1223281.12,588322.7,Business,613.89,2023-07-30,1
10358,33.0,467900.25,281140.13,Other,651.05,2018-12-05,1
10869,43.0,332903.59,429293.11,Business,606.35,2024-03-17,0
10799,36.0,886814.35,572707.19,Home,647.28,2024-05-19,0
10381,27.0,1038808.97,623046.2,Home,736.78,2024-03-04,0
10632,53.0,401831.46,194934.02,Home,,2023-03-03,0
10382,29.0,330604.03,243324.74,Car,661.05,2019-07-28,0
10491,36.0,951457.8,389229.55,Other,632.48,2018-04-22,1
10119,49.0,316688.61,247786.56,Car,659.4,2018-01-04,1
10901,40.0,643948.67,268018.4,Other,,2019-08-21,0
10251,22.0,1239378.86,1020290.59,Other,,2022-11-29,0
10524,42.0,636295.94,245355.57,Other,580.7,2020-09-11,0
10010,42.0,494842.42,312593.33,Car,809.23,2023-09-30,0
10197,26.0,450431.3,285745.2,Education,626.94,2019-07-30,0
10604,51.0,591895.64,269412.98,Business,767.37,2025-06-13,1
10082,40.0,216898.58,164641.23,Education,709.93,2024-10-05,0
10784,43.0,1445178.2,1226306.4,Home,633.64,2025-05-31,0
10588,27.0,656965.85,291876.14,Car,570.63,2025-02-17,1
10798,43.0,599448.14,288094.83,Business,665.15,2024-04-12,1
10240,45.0,348605.41,348804.41,Business,574.73,2021-08-01,1
10291,34.0,504379.52,220663.31,Business,713.03,2021-01-05,1
10212,48.0,382474.63,133773.51701158684,Home,757.32,2025-02-20,0
10718,38.0,529363.23,361499.28,Business,697.38,2023-06-16,0
10360,27.0,896362.72,324925.41,Other,602.3,2023-10-03,0
10450,24.0,130860.46,25000.0,Car,650.01,2025-09-12,1
10228,24.0,164521.1,85401.88,Other,669.73,2025-06-06,0
10951,33.0,846154.12,106649.39,Car,533.41,2020-12-02,0
10947,19.0,806675.21,453445.12,Other,833.84,2020-02-23,0
10797,36.0,761049.29,473567.88,Car,672.8,2025-02-09,0
10502,57.0,385460.01,81770.64,Education,757.45,2022-02-04,0
10465,35.0,566928.76,525734.01,Car,665.81,2022-04-13,0
10363,35.0,814663.31,493062.68,Education,669.37,2023-05-06,1
10469,30.0,957058.42,78270.62,Business,,2019-12-13,1
10936,30.0,511366.66,254695.83,Business,538.97,2023-06-06,0
10429,48.0,670281.34,174336.94,Other,647.55,2024-08-12,0
10008,44.0,171135.69,35241.31,Home,638.35,2018-05-13,1
10156,28.0,722354.57,289871.89,Car,575.77,2021-03-20,1
10542,24.0,496861.1,110385.15,Education,667.16,2025-07-28,1
10441,40.0,450346.99,138820.37,Home,801.19,2018-05-20,0
10483,18.0,405888.69,238113.56,Home,656.25,2025-12-16,1
10423,33.0,948106.48,660981.71,Education,556.08,2018-06-04,1
10779,35.0,453204.8,316291.11,Business,681.23,2018-12-24,1
10950,39.0,668206.73,124867.49,Car,659.57,2022-10-16,0
10335,47.0,497071.76,275235.73,Education,701.09,2023-12-06,0
10577,39.0,940622.51,472643.87,Education,666.18,2025-03-24,1
10935,41.0,304187.13,271593.95,Home,701.96,2021-09-03,0
10568,25.0,519665.57,84025.83,Car,706.37,2021-07-17,0
10595,47.0,757837.12,179324.59,Business,798.06,2025-03-24,0
10531,43.0,2417712.1,1721359.98,Education,684.24,2022-05-16,1
10582,31.0,565637.02,368701.74,Car,697.3,2024-09-23,1
10708,55.0,607140.72,128275.94,Car,657.08,2023-08-07,0
10449,,447374.25,308949.89,Business,681.5,2018-10-09,0
10454,42.0,136892.11,25000.0,Other,600.79,2022-05-31,0
10229,28.0,725764.19,272703.37,Car,594.35,2019-05-24,1
10353,45.0,576281.31,218844.33,Home,715.04,2025-08-20,1
10729,30.0,322923.97,358458.12,Education,655.71,2018-03-18,0
10213,46.0,1177328.53,444356.46,Car,658.4,2022-08-02,1
10080,18.0,852719.35,358525.79,Other,704.53,2020-04-24,0
10149,42.0,843148.77,620525.45,Home,764.07,2022-11-09,0
10303,44.0,1055323.95,478725.36,Car,500.29,2024-05-31,1
10629,37.0,769708.95,251058.26,Education,742.29,2019-04-15,0
10778,33.0,770429.73,669902.82,Business,710.44,2019-03-12,0
10507,29.0,1096842.41,646135.87,Home,742.36,2022-06-22,0
10343,39.0,631288.91,152706.03,Other,632.75,2024-10-27,1
10486,20.0,265002.18,224048.95,Home,459.26,2021-01-03,0
10712,35.0,351056.18,25000.0,Home,724.52,2025-12-01,0
10134,41.0,540161.65,313923.85,Education,780.95,2018-03-18,0
10704,21.0,922193.09,535605.81,Home,646.13,2020-10-15,1
10312,48.0,1175253.14,1049333.25,Home,711.11,2023-09-02,1
10723,21.0,753166.53,58024.01,Education,662.48,2018-12-06,1
10630,48.0,567198.05,418893.93,Car,612.07,2022-02-02,0
10001,41.0,2366018.93,1725341.24,Business,690.82,2021-06-17,1
10317,44.0,272053.5,110813.13,Business,613.34,2021-03-15,1
10707,22.0,475218.64,206107.87,Car,577.07,2020-04-04,1
10548,34.0,843319.97,286972.51,Home,704.93,2019-09-07,0
10873,21.0,602321.06,206183.17,Home,764.07,2025-03-01,1
10533,35.0,967317.87,352848.15,Business,663.86,2025-07-05,0
10478,39.0,501572.78,251583.34,Other,708.35,2023-08-31,1
10405,31.0,463821.22,382673.69,Business,639.47,2025-11-03,1
10173,35.0,899883.71,257098.89,Home,799.8,2022-01-18,1
10126,60.0,248845.76,275466.42,Education,776.69,2025-03-03,1
10395,49.0,729369.83,373033.96,Business,674.69,2024-07-10,0
10421,59.0,537609.13,124952.87,Car,663.45,2025-02-21,1
10553,49.0,306804.39,328831.77,Other,566.96,2020-11-21,1
10904,50.0,439000.61,201359.0,Car,635.92,2025-01-01,1
10091,37.0,,235191.31,Education,,2020-09-14,0
10940,30.0,446292.03,81721.08,Education,662.05,2021-01-24,0
10182,27.0,661689.37,251683.76,Education,551.32,2023-02-10,1
10275,25.0,1249752.26,169666.54,Other,633.62,2018-06-11,0
10896,43.0,5030832.716734371,267946.84,Other,671.03,2021-11-04,0
10070,29.0,1148792.01,785577.32,Other,740.77,2018-05-02,0
10292,31.0,985434.77,271774.06,Car,640.93,2022-09-10,1
10132,37.0,1208726.14,263799.28,Other,568.65,2025-12-20,1
10301,27.0,4612583.888953394,573069.63,Car,712.67,2021-07-31,0
10425,43.0,674710.39,313744.59,Education,720.85,2022-04-04,1
10327,49.0,470107.17,73578.02,Business,654.99,2025-11-13,1
10145,39.0,945507.33,674064.18,Home,571.71,2018-06-20,1
10424,47.0,409764.0,326784.82,Education,752.52,2022-05-10,0
10581,40.0,339098.78,196858.3,Car,740.72,2021-07-21,0
10136,53.0,612762.08,177175.39,Car,782.01,2022-05-21,0
10451,35.0,866745.26,477938.18,Business,850.0,2021-01-02,0
10165,47.0,212098.56,155817.79,Car,621.49,2022-12-13,1
10029,29.0,666468.37,639512.46,Car,675.59,2020-12-20,0
10774,47.0,857200.69,488197.34,Education,710.85,2018-11-08,0
10194,22.0,424069.7,25000.0,Other,678.18,2021-11-30,1
10389,46.0,430447.62,189696.37,Car,721.81,2018-05-17,0
10853,29.0,1587807.02,349501.08,Business,598.35,2022-07-28,1
10170,28.0,963625.15,442867.85,Business,651.5,2024-01-01,1
10706,43.0,332408.92,180049.08,Home,660.26,2025-03-06,1
10141,39.0,468449.43,313202.71,Education,792.16,2021-10-16,0
10174,40.0,944913.66,120557.97,Car,728.35,2024-06-29,1
10007,53.0,1317149.29,559820.61,Other,,2020-06-21,0
10746,28.0,194762.87,163379.6,Home,679.31,2020-09-29,1
10479,70.0,964974.76,689574.99,Business,850.0,2019-12-12,1
10074,53.0,,186525.41,Car,822.69,2018-05-30,0
10911,33.0,1059981.75,331113.52,Car,786.11,2019-11-18,0
10814,38.0,407701.91,159636.52,Home,723.63,2020-10-18,1
10239,29.0,396092.46,273823.28,Home,,2022-11-23,1
10146,45.0,344619.74,25000.0,Home,713.36,2025-09-10,1
10793,39.0,805332.19,25000.0,Education,789.11,2019-08-19,0
10235,60.0,1380647.64,587813.31,Car,785.85,2024-12-30,0
10221,61.0,4292455.440339683,66194.03,Home,839.07,2021-10-07,0
10924,28.0,679643.07,121733.75,Education,694.4,2020-12-03,0
10501,46.0,419514.09,223871.66,Business,665.96,2023-12-04,1
10133,24.0,707645.94,500554.84,Other,725.62,2023-02-14,0
10991,38.0,317697.28,33365.85,Car,730.95,2018-04-26,0
10775,43.0,545477.08,25000.0,Car,710.78,2025-10-26,0
10186,44.0,481376.34,322355.0,Car,821.7,2019-03-06,0
10042,38.0,818775.92,391653.05,Other,652.87,2022-06-10,1
10697,40.0,406734.09,149581.75,Car,605.94,2025-10-11,1
10109,39.0,1262194.12,693300.04,Car,686.42,2020-12-16,1
10589,45.0,181417.1,80192.31,Car,802.26,2025-07-21,0
10057,27.0,469905.49,446413.85,Home,604.95,2022-09-21,1
10406,43.0,724082.17,376412.12,Car,619.89,2021-09-30,1
10443,18.0,1187743.79,1093219.43,Car,695.96,2022-02-23,0
10758,38.0,435492.61,177047.41,Car,,2022-10-20,0
10998,43.0,795605.2,607401.36,Home,543.83,2025-10-28,1
10025,30.0,564525.18,272191.03,Other,642.94,2020-05-05,0
10468,44.0,915844.22,108903.08,Home,665.34,2024-12-31,1
10540,30.0,909936.5289175288,96581.42,Education,578.54,2023-04-21,1
10532,18.0,1246772.53,1067846.46,Home,670.63,2025-03-29,1
10619,41.0,562539.67,292671.78,Home,675.14,2025-06-13,1
10695,43.0,5738307.095382373,590751.8,Business,671.51,2022-02-24,1
10927,30.0,635893.09,175345.35,Education,669.62,2025-02-02,1
10339,41.0,1243944.75,808570.25,Education,611.86,2025-12-06,1
10052,32.0,536977.45,94333.26,Education,655.5,2023-07-08,1
10508,26.0,868498.81,379715.18,Car,739.86,2021-05-24,0
10517,42.0,937691.2,778863.34,Education,744.79,2020-07-06,1
10921,48.0,368885.98,280727.67,Education,719.25,2022-08-17,1
10782,21.0,1202979.97,545032.29,Home,712.33,2019-06-07,0
10265,33.0,495090.88,335002.11,Education,567.27,2025-05-20,1
10818,46.0,542084.97,562457.66,Car,,2018-01-19,0
10711,38.0,256799.21,210956.44,Home,634.97,2021-03-02,1
10683,30.0,704710.29,513975.08,Home,655.87,2024-01-25,0
10833,25.0,707969.57,156778.9,Business,580.42,2018-08-06,1
10519,37.0,892942.6,275870.84,Other,665.92,2018-01-14,0
10448,26.0,1030441.56,999642.5,Home,578.78,2023-04-02,1
10019,26.0,690742.28,590930.67,Business,636.58,2021-11-19,1
